Team1,Team1Goals,Team2Goals,Team2,Winner,Losser
Bangladesh,1,0,Nepal,Bangladesh,Nepal
Nepal,0,1,SriLanka,SriLanka,Nepal
Afghanistan,4,0,Bangladesh,Afghanistan,Bangladesh
Maldives,3,1,Bhutan,Maldives,Bhutan
India,2,0,SriLanka,India,SriLanka
Bangladesh,1,3,Maldives,Maldives,Bangladesh
Bhutan,0,3,Afghanistan,Afghanistan,Bhutan
Martinique,2,0,Guadeloupe,Martinique,Guadeloupe
India,4,1,Nepal,India,Nepal
Afghanistan,4,1,Maldives,Afghanistan,Maldives
Bhutan,0,3,Bangladesh,Bangladesh,Bhutan
Afghanistan,5,0,SriLanka,Afghanistan,SriLanka
India,3,2,Maldives,India,Maldives
India,2,1,Afghanistan,India,Afghanistan
Rwanda,1,1,Cameroon,TIERwandaCameroon,TIERwandaCameroon
Sweden,1,1,Estonia,TIESwedenEstonia,TIESwedenEstonia
Bangladesh,4,2,SriLanka,Bangladesh,SriLanka
TrinidadandTobago,0,1,Haiti,Haiti,TrinidadandTobago
Rwanda,1,0,CongoDR,Rwanda,CongoDR
Sweden,3,0,Finland,Sweden,Finland
Maldives,3,2,Cambodia,Maldives,Cambodia
Finland,0,1,Iceland,Iceland,Finland
Nepal,1,0,SriLanka,Nepal,SriLanka
Uganda,0,0,Cameroon,TIEUgandaCameroon,TIEUgandaCameroon
Bangladesh,0,0,Nepal,TIEBangladeshNepal,TIEBangladeshNepal
Gabon,0,0,Morocco,TIEGabonMorocco,TIEGabonMorocco
Rwanda,1,0,IvoryCoast,Rwanda,IvoryCoast
UnitedArabEmirates,2,1,Iceland,UnitedArabEmirates,Iceland
Angola,0,1,Cameroon,Cameroon,Angola
CongoDR,3,0,Ethiopia,CongoDR,Ethiopia
Nigeria,4,1,Niger,Nigeria,Niger
Tunisia,2,2,Guinea,TIETunisiaGuinea,TIETunisiaGuinea
Maldives,1,4,Nepal,Nepal,Maldives
Mali,2,2,Uganda,TIEMaliUganda,TIEMaliUganda
Zimbabwe,0,1,Zambia,Zambia,Zimbabwe
Morocco,0,1,IvoryCoast,IvoryCoast,Morocco
Rwanda,2,1,Gabon,Rwanda,Gabon
Cameroon,0,0,Ethiopia,TIECameroonEthiopia,TIECameroonEthiopia
CongoDR,4,2,Angola,CongoDR,Angola
Niger,2,2,Guinea,TIENigerGuinea,TIENigerGuinea
Tunisia,1,1,Nigeria,TIETunisiaNigeria,TIETunisiaNigeria
Uganda,0,1,Zambia,Zambia,Uganda
Zimbabwe,0,1,Mali,Mali,Zimbabwe
IvoryCoast,4,1,Gabon,IvoryCoast,Gabon
Rwanda,1,4,Morocco,Morocco,Rwanda
Cameroon,3,1,CongoDR,Cameroon,CongoDR
Ethiopia,1,2,Angola,Angola,Ethiopia
Guinea,1,0,Nigeria,Guinea,Nigeria
Niger,0,5,Tunisia,Tunisia,Niger
Egypt,0,1,Jordan,Jordan,Egypt
Uganda,1,1,Zimbabwe,TIEUgandaZimbabwe,TIEUgandaZimbabwe
Zambia,0,0,Mali,TIEZambiaMali,TIEZambiaMali
Egypt,2,0,Libya,Egypt,Libya
Cameroon,0,3,IvoryCoast,IvoryCoast,Cameroon
Rwanda,1,2,CongoDR,CongoDR,Rwanda
Tunisia,1,2,Mali,Mali,Tunisia
USA,3,2,Iceland,USA,Iceland
Zambia,0,0,Guinea,TIEZambiaGuinea,TIEZambiaGuinea
CongoDR,1,1,Guinea,TIECongoDRGuinea,TIECongoDRGuinea
Mali,1,0,IvoryCoast,Mali,IvoryCoast
Bahrain,2,0,Lebanon,Bahrain,Lebanon
Guadeloupe,1,1,Martinique,TIEGuadeloupeMartinique,TIEGuadeloupeMartinique
CongoDR,3,0,Mali,CongoDR,Mali
Guinea,1,2,IvoryCoast,IvoryCoast,Guinea
Uzbekistan,2,0,Lebanon,Uzbekistan,Lebanon
Guyana,2,0,Suriname,Guyana,Suriname
FrenchGuyana,2,3,Suriname,Suriname,FrenchGuyana
Egypt,2,0,BurkinaFaso,Egypt,BurkinaFaso
SintMaarten,2,0,Anguilla,SintMaarten,Anguilla
Iraq,0,1,Syria,Syria,Iraq
UnitedArabEmirates,6,1,Bangladesh,UnitedArabEmirates,Bangladesh
Cuba,2,1,Bermuda,Cuba,Bermuda
AntiguaandBarbuda,2,1,Aruba,AntiguaandBarbuda,Aruba
Barbados,1,0,Curasao,Barbados,Curasao
Chad,0,1,Tanzania,Tanzania,Chad
Croatia,2,0,Israel,Croatia,Israel
Gibraltar,0,0,Liechtenstein,TIEGibraltarLiechtenstein,TIEGibraltarLiechtenstein
Guadeloupe,0,0,Suriname,TIEGuadeloupeSuriname,TIEGuadeloupeSuriname
GuineaBissau,1,0,Kenya,GuineaBissau,Kenya
Martinique,3,0,BritishVirginIslands,Martinique,BritishVirginIslands
Poland,1,0,Serbia,Poland,Serbia
Romania,1,0,Lithuania,Romania,Lithuania
Saeo,2,1,Libya,Saeo,Libya
Slovenia,1,0,Macedonia,Slovenia,Macedonia
SouthSudan,1,2,Benin,Benin,SouthSudan
Zambia,1,1,Congo,TIEZambiaCongo,TIEZambiaCongo
Australia,7,0,Tajikistan,Australia,Tajikistan
Bahrain,3,0,Yemen,Bahrain,Yemen
Bolivia,2,3,Colombia,Colombia,Bolivia
Chile,1,2,Argentina,Argentina,Chile
China,4,0,Maldives,China,Maldives
Comoros,1,0,Botswana,Comoros,Botswana
CzechRepublic,0,1,Scotland,Scotland,CzechRepublic
Denmark,2,1,Iceland,Denmark,Iceland
Djibouti,0,1,Liberia,Liberia,Djibouti
Ecuador,2,2,Paraguay,TIEEcuadorParaguay,TIEEcuadorParaguay
Estonia,0,0,Norway,TIEEstoniaNorway,TIEEstoniaNorway
Ghana,3,1,Mozambique,Ghana,Mozambique
Greece,2,1,Montenegro,Greece,Montenegro
Iran,4,0,India,Iran,India
Iraq,2,2,Thailand,TIEIraqThailand,TIEIraqThailand
Italy,1,1,Spain,TIEItalySpain,TIEItalySpain
Japan,5,0,Afghanistan,Japan,Afghanistan
Jordan,8,0,Bangladesh,Jordan,Bangladesh
SouthKorea,1,0,Lebanon,SouthKorea,Lebanon
Madagascar,1,1,CentralAfricanRepublic,TIEMadagascarCentralAfricanRepublic,TIEMadagascarCentralAfricanRepublic
Malta,0,0,Moldova,TIEMaltaMoldova,TIEMaltaMoldova
Oman,1,0,Guam,Oman,Guam
Peru,2,2,Venezuela,TIEPeruVenezuela,TIEPeruVenezuela
Qatar,2,0,HongKong,Qatar,HongKong
SaudiArabia,2,0,Malaysia,SaudiArabia,Malaysia
Singapore,2,1,Burma,Singapore,Burma
SolomonIslands,2,0,PapuaNewGuinea,SolomonIslands,PapuaNewGuinea
Syria,6,0,Cambodia,Syria,Cambodia
Turkey,2,1,Sweden,Turkey,Sweden
Ukraine,1,0,Cyprus,Ukraine,Cyprus
UnitedArabEmirates,2,0,Palestine,UnitedArabEmirates,Palestine
Uzbekistan,1,0,Philippines,Uzbekistan,Philippines
Vietnam,4,1,Taiwan,Vietnam,Taiwan
Wales,1,1,NorthernIreland,TIEWalesNorthernIreland,TIEWalesNorthernIreland
Algeria,7,1,Ethiopia,Algeria,Ethiopia
Armenia,0,0,Belarus,TIEArmeniaBelarus,TIEArmeniaBelarus
Brazil,2,2,Uruguay,TIEBrazilUruguay,TIEBrazilUruguay
Canada,0,3,Mexico,Mexico,Canada
ElSalvador,2,2,Honduras,TIEElSalvadorHonduras,TIEElSalvadorHonduras
Gabon,2,1,SierraLeone,Gabon,SierraLeone
Guatemala,2,0,USA,Guatemala,USA
Guinea,0,0,Malawi,TIEGuineaMalawi,TIEGuineaMalawi
Haiti,0,0,Panama,TIEHaitiPanama,TIEHaitiPanama
Ireland,1,0,Switzerland,Ireland,Switzerland
IvoryCoast,1,0,Sudan,IvoryCoast,Sudan
Jamaica,1,1,CostaRica,TIEJamaicaCostaRica,TIEJamaicaCostaRica
Luxembourg,0,3,BosniaHerzegovina,BosniaHerzegovina,Luxembourg
Mali,1,0,EquatorialGuinea,Mali,EquatorialGuinea
Mauritania,2,1,Gambia,Mauritania,Gambia
Netherlands,2,3,France,France,Netherlands
Nigeria,1,1,Egypt,TIENigeriaEgypt,TIENigeriaEgypt
Portugal,0,1,Bulgaria,Bulgaria,Portugal
Slovakia,0,0,Latvia,TIESlovakiaLatvia,TIESlovakiaLatvia
Swaziland,1,1,Zimbabwe,TIESwazilandZimbabwe,TIESwazilandZimbabwe
Tunisia,1,0,Togo,Tunisia,Togo
Anguilla,0,4,PuertoRico,PuertoRico,Anguilla
Aruba,0,2,StKittsandNevis,StKittsandNevis,Aruba
Austria,2,1,Albania,Austria,Albania
Azerbaijan,0,1,Kazakhstan,Kazakhstan,Azerbaijan
Bermuda,2,1,FrenchGuyana,Bermuda,FrenchGuyana
BritishVirginIslands,0,7,Dominica,Dominica,BritishVirginIslands
BurkinaFaso,1,0,Uganda,BurkinaFaso,Uganda
Burundi,1,3,Namibia,Namibia,Burundi
Cameroon,2,2,SouthAfrica,TIECameroonSouthAfrica,TIECameroonSouthAfrica
CapeVerde,0,1,Morocco,Morocco,CapeVerde
CongoDR,2,1,Angola,CongoDR,Angola
Curasao,2,1,DominicanRepublic,Curasao,DominicanRepublic
Germany,2,3,England,England,Germany
Hungary,1,1,Croatia,TIEHungaryCroatia,TIEHungaryCroatia
Mauritius,1,0,Rwanda,Mauritius,Rwanda
Poland,5,0,Finland,Poland,Finland
Russia,3,0,Lithuania,Russia,Lithuania
Senegal,2,0,Niger,Senegal,Niger
Seychelles,2,0,Lesotho,Seychelles,Lesotho
SintMaarten,1,2,VirginIslands,VirginIslands,SintMaarten
Benin,4,1,SouthSudan,Benin,SouthSudan
Botswana,2,1,Comoros,Botswana,Comoros
Congo,1,1,Zambia,TIECongoZambia,TIECongoZambia
Kenya,0,1,GuineaBissau,GuineaBissau,Kenya
Mozambique,0,0,Ghana,TIEMozambiqueGhana,TIEMozambiqueGhana
Romania,0,0,Spain,TIERomaniaSpain,TIERomaniaSpain
Thailand,0,1,SouthKorea,SouthKorea,Thailand
Andorra,0,1,Moldova,Moldova,Andorra
CentralAfricanRepublic,2,1,Madagascar,CentralAfricanRepublic,Madagascar
EquatorialGuinea,0,1,Mali,Mali,EquatorialGuinea
Libya,4,0,Saeo,Libya,Saeo
Liechtenstein,2,3,FaroeIslands,FaroeIslands,Liechtenstein
NorthernIreland,1,0,Slovenia,NorthernIreland,Slovenia
SierraLeone,1,0,Gabon,SierraLeone,Gabon
Ukraine,1,0,Wales,Ukraine,Wales
Afghanistan,2,1,Singapore,Afghanistan,Singapore
Angola,0,2,CongoDR,CongoDR,Angola
Argentina,2,0,Bolivia,Argentina,Bolivia
Australia,5,1,Jordan,Australia,Jordan
Austria,1,2,Turkey,Turkey,Austria
China,2,0,Qatar,China,Qatar
Colombia,3,0,Ecuador,Colombia,Ecuador
CostaRica,3,0,Jamaica,CostaRica,Jamaica
Dominica,1,4,Martinique,Martinique,Dominica
DominicanRepublic,2,0,Barbados,DominicanRepublic,Barbados
Egypt,1,0,Nigeria,Egypt,Nigeria
England,1,2,Netherlands,Netherlands,England
Estonia,0,1,Serbia,Serbia,Estonia
Ethiopia,3,3,Algeria,TIEEthiopiaAlgeria,TIEEthiopiaAlgeria
France,4,2,Russia,France,Russia
FrenchGuyana,3,0,Cuba,FrenchGuyana,Cuba
Gambia,0,0,Mauritania,TIEGambiaMauritania,TIEGambiaMauritania
Georgia,1,1,Kazakhstan,TIEGeorgiaKazakhstan,TIEGeorgiaKazakhstan
Germany,4,1,Italy,Germany,Italy
Gibraltar,0,5,Latvia,Latvia,Gibraltar
Greece,2,3,Iceland,Iceland,Greece
Honduras,2,0,ElSalvador,Honduras,ElSalvador
India,1,2,Turkmenistan,Turkmenistan,India
Iran,2,0,Oman,Iran,Oman
Iraq,1,0,Vietnam,Iraq,Vietnam
Ireland,2,2,Slovakia,TIEIrelandSlovakia,TIEIrelandSlovakia
Japan,5,0,Syria,Japan,Syria
Lebanon,1,1,Burma,TIELebanonBurma,TIELebanonBurma
Lesotho,2,1,Seychelles,Lesotho,Seychelles
Liberia,5,0,Djibouti,Liberia,Djibouti
Luxembourg,0,2,Albania,Albania,Luxembourg
Macedonia,0,2,Bulgaria,Bulgaria,Macedonia
Malawi,1,2,Guinea,Guinea,Malawi
Malaysia,0,0,Macau,TIEMalaysiaMacau,TIEMalaysiaMacau
Maldives,4,2,Bhutan,Maldives,Bhutan
Mexico,2,0,Canada,Mexico,Canada
Montenegro,0,0,Belarus,TIEMontenegroBelarus,TIEMontenegroBelarus
Morocco,2,0,CapeVerde,Morocco,CapeVerde
Namibia,1,3,Burundi,Burundi,Namibia
Niger,1,2,Senegal,Senegal,Niger
Norway,2,0,Finland,Norway,Finland
Palestine,7,0,EastTimor,Palestine,EastTimor
Panama,1,0,Haiti,Panama,Haiti
Paraguay,2,2,Brazil,TIEParaguayBrazil,TIEParaguayBrazil
Philippines,3,2,KoreaDPR,Philippines,KoreaDPR
Portugal,2,1,Belgium,Portugal,Belgium
Rwanda,5,0,Mauritius,Rwanda,Mauritius
Scotland,1,0,Denmark,Scotland,Denmark
SouthAfrica,0,0,Cameroon,TIESouthAfricaCameroon,TIESouthAfricaCameroon
StKittsandNevis,1,0,AntiguaandBarbuda,StKittsandNevis,AntiguaandBarbuda
Sudan,1,1,IvoryCoast,TIESudanIvoryCoast,TIESudanIvoryCoast
Suriname,3,2,Guadeloupe,Suriname,Guadeloupe
Sweden,1,1,CzechRepublic,TIESwedenCzechRepublic,TIESwedenCzechRepublic
Switzerland,0,2,BosniaHerzegovina,BosniaHerzegovina,Switzerland
Tajikistan,0,1,Kyrgyzstan,Kyrgyzstan,Tajikistan
Togo,0,0,Tunisia,TIETogoTunisia,TIETogoTunisia
Uganda,0,0,BurkinaFaso,TIEUgandaBurkinaFaso,TIEUgandaBurkinaFaso
UnitedArabEmirates,1,1,SaudiArabia,TIEUnitedArabEmiratesSaudiArabia,TIEUnitedArabEmiratesSaudiArabia
Uruguay,1,0,Peru,Uruguay,Peru
USA,4,0,Guatemala,USA,Guatemala
Uzbekistan,1,0,Bahrain,Uzbekistan,Bahrain
Venezuela,1,4,Chile,Chile,Venezuela
VirginIslands,1,2,Grenada,Grenada,VirginIslands
Martinique,0,2,Panama,Panama,Martinique
Hungary,0,0,IvoryCoast,TIEHungaryIvoryCoast,TIEHungaryIvoryCoast
Botswana,2,1,Lesotho,Botswana,Lesotho
England,2,1,Turkey,England,Turkey
PuertoRico,1,3,USA,USA,PuertoRico
Romania,1,1,CongoDR,TIERomaniaCongoDR,TIERomaniaCongoDR
Serbia,2,1,Cyprus,Serbia,Cyprus
Azerbaijan,0,0,Andorra,TIEAzerbaijanAndorra,TIEAzerbaijanAndorra
Croatia,1,0,Moldova,Croatia,Moldova
CzechRepublic,6,0,Malta,CzechRepublic,Malta
England,2,1,Australia,England,Australia
Ireland,1,1,Netherlands,TIEIrelandNetherlands,TIEIrelandNetherlands
Morocco,2,0,Congo,Morocco,Congo
Nigeria,1,0,Mali,Nigeria,Mali
NorthernIreland,3,0,Belarus,NorthernIreland,Belarus
Slovakia,3,1,Georgia,Slovakia,Georgia
Togo,1,0,Zambia,Togo,Zambia
Burma,0,0,Malaysia,TIEBurmaMalaysia,TIEBurmaMalaysia
CostaRica,2,1,Venezuela,CostaRica,Venezuela
ElSalvador,1,3,Peru,Peru,ElSalvador
Gabon,0,2,Mauritania,Mauritania,Gabon
Guatemala,1,7,Armenia,Armenia,Guatemala
Mexico,1,0,Paraguay,Mexico,Paraguay
NewZealand,3,1,Fiji,NewZealand,Fiji
Rwanda,0,2,Senegal,Senegal,Rwanda
Switzerland,1,2,Belgium,Belgium,Switzerland
Vanuatu,0,1,SolomonIslands,SolomonIslands,Vanuatu
Albania,3,1,Qatar,Albania,Qatar
Azerbaijan,1,3,Macedonia,Macedonia,Azerbaijan
BosniaHerzegovina,1,3,Spain,Spain,BosniaHerzegovina
Cambodia,2,0,EastTimor,Cambodia,EastTimor
Germany,1,3,Slovakia,Slovakia,Germany
Italy,1,0,Scotland,Italy,Scotland
Kenya,1,1,Tanzania,TIEKenyaTanzania,TIEKenyaTanzania
Laos,1,1,Nepal,TIELaosNepal,TIELaosNepal
Lithuania,2,0,Estonia,Lithuania,Estonia
PapuaNewGuinea,1,1,NewCaledonia,TIEPapuaNewGuineaNewCaledonia,TIEPapuaNewGuineaNewCaledonia
Portugal,3,0,Norway,Portugal,Norway
Romania,3,4,Ukraine,Ukraine,Romania
Tahiti,4,0,Samoa,Tahiti,Samoa
Turkey,1,0,Montenegro,Turkey,Montenegro
France,3,2,Cameroon,France,Cameroon
Gambia,0,0,Zambia,TIEGambiaZambia,TIEGambiaZambia
Sweden,0,0,Slovenia,TIESwedenSlovenia,TIESwedenSlovenia
Austria,2,1,Malta,Austria,Malta
Ireland,1,2,Belarus,Belarus,Ireland
Kenya,1,1,Sudan,TIEKenyaSudan,TIEKenyaSudan
Luxembourg,1,3,Nigeria,Nigeria,Luxembourg
Serbia,3,1,Israel,Serbia,Israel
SolomonIslands,0,1,Fiji,Fiji,SolomonIslands
Vanuatu,0,5,NewZealand,NewZealand,Vanuatu
Vietnam,2,0,Syria,Vietnam,Syria
Zimbabwe,2,0,Uganda,Zimbabwe,Uganda
Belgium,1,1,Finland,TIEBelgiumFinland,TIEBelgiumFinland
Curasao,5,2,Guyana,Curasao,Guyana
CzechRepublic,2,1,Russia,CzechRepublic,Russia
ElSalvador,0,4,Armenia,Armenia,ElSalvador
Estonia,2,0,Andorra,Estonia,Andorra
Grenada,3,3,PuertoRico,TIEGrenadaPuertoRico,TIEGrenadaPuertoRico
Latvia,2,1,Lithuania,Latvia,Lithuania
Martinique,2,0,Guadeloupe,Martinique,Guadeloupe
NewCaledonia,7,0,Samoa,NewCaledonia,Samoa
Norway,3,2,Iceland,Norway,Iceland
PapuaNewGuinea,2,2,Tahiti,TIEPapuaNewGuineaTahiti,TIEPapuaNewGuineaTahiti
Poland,1,2,Netherlands,Netherlands,Poland
Spain,6,1,SouthKorea,Spain,SouthKorea
StKittsandNevis,1,0,Suriname,StKittsandNevis,Suriname
England,1,0,Portugal,England,Portugal
Laos,0,1,India,India,Laos
Macedonia,1,3,Iran,Iran,Macedonia
Malaysia,3,0,EastTimor,Malaysia,EastTimor
Maldives,0,2,Yemen,Yemen,Maldives
Seychelles,0,2,Algeria,Algeria,Seychelles
Tajikistan,5,0,Bangladesh,Tajikistan,Bangladesh
Albania,1,3,Ukraine,Ukraine,Albania
Azerbaijan,1,1,Canada,TIEAzerbaijanCanada,TIEAzerbaijanCanada
BosniaHerzegovina,2,2,Denmark,TIEBosniaHerzegovinaDenmark,TIEBosniaHerzegovinaDenmark
Burma,0,1,Singapore,Singapore,Burma
China,4,2,TrinidadandTobago,China,TrinidadandTobago
Djibouti,0,3,Tunisia,Tunisia,Djibouti
FaroeIslands,0,2,Kosovo,Kosovo,FaroeIslands
Japan,7,2,Bulgaria,Japan,Bulgaria
Libya,1,1,Morocco,TIELibyaMorocco,TIELibyaMorocco
Mauritania,0,1,Cameroon,Cameroon,Mauritania
Romania,5,1,Georgia,Romania,Georgia
SierraLeone,1,0,Sudan,SierraLeone,Sudan
Switzerland,2,1,Moldova,Switzerland,Moldova
Thailand,2,2,Syria,TIEThailandSyria,TIEThailandSyria
UnitedArabEmirates,1,3,Jordan,Jordan,UnitedArabEmirates
USA,0,2,Colombia,Colombia,USA
Vietnam,2,2,HongKong,TIEVietnamHongKong,TIEVietnamHongKong
Australia,1,0,Greece,Australia,Greece
Austria,0,2,Netherlands,Netherlands,Austria
Botswana,1,2,Uganda,Uganda,Botswana
Brazil,0,0,Ecuador,TIEBrazilEcuador,TIEBrazilEcuador
CostaRica,0,0,Paraguay,TIECostaRicaParaguay,TIECostaRicaParaguay
Croatia,10,0,SanMarino,Croatia,SanMarino
Estonia,0,0,Latvia,TIEEstoniaLatvia,TIEEstoniaLatvia
Fiji,2,3,Vanuatu,Vanuatu,Fiji
France,3,0,Scotland,France,Scotland
Gambia,0,4,SouthAfrica,SouthAfrica,Gambia
Germany,2,0,Hungary,Germany,Hungary
Guadeloupe,2,1,Dominica,Guadeloupe,Dominica
Haiti,0,1,Peru,Peru,Haiti
IvoryCoast,2,1,Gabon,IvoryCoast,Gabon
NewZealand,1,0,SolomonIslands,NewZealand,SolomonIslands
Rwanda,2,3,Mozambique,Mozambique,Rwanda
Slovakia,0,0,NorthernIreland,TIESlovakiaNorthernIreland,TIESlovakiaNorthernIreland
SouthSudan,0,3,Mali,Mali,SouthSudan
Tanzania,0,2,Egypt,Egypt,Tanzania
VirginIslands,0,7,Guyana,Guyana,VirginIslands
Belgium,3,2,Norway,Belgium,Norway
CentralAfricanRepublic,3,0,Angola,CentralAfricanRepublic,Angola
Comoros,0,1,BurkinaFaso,BurkinaFaso,Comoros
CzechRepublic,1,2,SouthKorea,SouthKorea,CzechRepublic
Jamaica,0,1,Venezuela,Venezuela,Jamaica
Kenya,2,1,Congo,Kenya,Congo
Lesotho,1,2,Ethiopia,Ethiopia,Lesotho
Liberia,2,2,Togo,TIELiberiaTogo,TIELiberiaTogo
Madagascar,1,6,CongoDR,CongoDR,Madagascar
Mauritius,0,2,Ghana,Ghana,Mauritius
Mexico,3,1,Uruguay,Mexico,Uruguay
PapuaNewGuinea,8,0,Samoa,PapuaNewGuinea,Samoa
Russia,1,1,Serbia,TIERussiaSerbia,TIERussiaSerbia
Slovenia,0,1,Turkey,Turkey,Slovenia
Swaziland,1,0,Guinea,Swaziland,Guinea
Sweden,3,0,Wales,Sweden,Wales
Tahiti,1,1,NewCaledonia,TIETahitiNewCaledonia,TIETahitiNewCaledonia
Thailand,2,0,Jordan,Thailand,Jordan
UnitedArabEmirates,0,1,Syria,Syria,UnitedArabEmirates
Zimbabwe,3,0,Malawi,Zimbabwe,Malawi
Argentina,2,1,Chile,Argentina,Chile
Burma,3,0,HongKong,Burma,HongKong
Iceland,4,0,Liechtenstein,Iceland,Liechtenstein
Italy,2,0,Finland,Italy,Finland
Malaysia,3,0,EastTimor,Malaysia,EastTimor
Panama,2,1,Bolivia,Panama,Bolivia
Poland,0,0,Lithuania,TIEPolandLithuania,TIEPolandLithuania
Singapore,0,3,Vietnam,Vietnam,Singapore
Australia,1,2,Greece,Greece,Australia
Bangladesh,0,1,Tajikistan,Tajikistan,Bangladesh
Bulgaria,0,4,Denmark,Denmark,Bulgaria
Cambodia,2,0,Taiwan,Cambodia,Taiwan
Canada,2,1,Uzbekistan,Canada,Uzbekistan
China,0,1,Kazakhstan,Kazakhstan,China
Colombia,2,1,Paraguay,Colombia,Paraguay
Curasao,7,0,VirginIslands,Curasao,VirginIslands
DominicanRepublic,2,1,FrenchGuyana,DominicanRepublic,FrenchGuyana
India,6,1,Laos,India,Laos
Iran,6,0,Kyrgyzstan,Iran,Kyrgyzstan
Japan,1,2,BosniaHerzegovina,BosniaHerzegovina,Japan
Spain,0,1,Georgia,Georgia,Spain
StVincentandtheGrenadines,0,1,StKittsandNevis,StKittsandNevis,StVincentandtheGrenadines
USA,4,0,CostaRica,USA,CostaRica
Yemen,2,0,Maldives,Yemen,Maldives
Brazil,7,1,Haiti,Brazil,Haiti
Ecuador,2,2,Peru,TIEEcuadorPeru,TIEEcuadorPeru
NewZealand,1,0,NewCaledonia,NewZealand,NewCaledonia
PapuaNewGuinea,2,1,SolomonIslands,PapuaNewGuinea,SolomonIslands
Portugal,7,0,Estonia,Portugal,Estonia
Mexico,2,0,Jamaica,Mexico,Jamaica
Uruguay,0,1,Venezuela,Venezuela,Uruguay
Argentina,5,0,Panama,Argentina,Panama
Chile,2,1,Bolivia,Chile,Bolivia
France,2,1,Romania,France,Romania
Albania,0,1,Switzerland,Switzerland,Albania
Colombia,2,3,CostaRica,CostaRica,Colombia
England,1,1,Russia,TIEEnglandRussia,TIEEnglandRussia
PapuaNewGuinea,0,0,NewZealand,TIEPapuaNewGuineaNewZealand,TIEPapuaNewGuineaNewZealand
Seychelles,0,1,Madagascar,Madagascar,Seychelles
USA,1,0,Paraguay,USA,Paraguay
Wales,2,1,Slovakia,Wales,Slovakia
Zimbabwe,2,2,Swaziland,TIEZimbabweSwaziland,TIEZimbabweSwaziland
Benin,2,1,EquatorialGuinea,Benin,EquatorialGuinea
Brazil,0,1,Peru,Peru,Brazil
Ecuador,4,0,Haiti,Ecuador,Haiti
Germany,2,0,Ukraine,Germany,Ukraine
Lesotho,3,0,Mauritius,Lesotho,Mauritius
Malawi,3,0,Angola,Malawi,Angola
Poland,1,0,NorthernIreland,Poland,NorthernIreland
Turkey,0,1,Croatia,Croatia,Turkey
Belgium,0,2,Italy,Italy,Belgium
Ireland,1,1,Sweden,TIEIrelandSweden,TIEIrelandSweden
Madagascar,0,0,Zimbabwe,TIEMadagascarZimbabwe,TIEMadagascarZimbabwe
Mexico,1,1,Venezuela,TIEMexicoVenezuela,TIEMexicoVenezuela
Spain,1,0,CzechRepublic,Spain,CzechRepublic
Swaziland,4,0,Seychelles,Swaziland,Seychelles
Uruguay,3,0,Jamaica,Uruguay,Jamaica
Angola,0,2,Lesotho,Lesotho,Angola
Argentina,3,0,Bolivia,Argentina,Bolivia
Austria,0,2,Hungary,Hungary,Austria
Chile,4,2,Panama,Chile,Panama
Mauritius,0,1,Malawi,Malawi,Mauritius
Portugal,1,1,Iceland,TIEPortugalIceland,TIEPortugalIceland
France,2,0,Albania,France,Albania
Romania,1,1,Switzerland,TIERomaniaSwitzerland,TIERomaniaSwitzerland
Russia,1,2,Slovakia,Slovakia,Russia
Swaziland,1,0,Madagascar,Swaziland,Madagascar
Zimbabwe,5,0,Seychelles,Zimbabwe,Seychelles
Angola,0,2,Mauritius,Mauritius,Angola
England,2,1,Wales,England,Wales
Germany,0,0,Poland,TIEGermanyPoland,TIEGermanyPoland
Malawi,0,1,Lesotho,Lesotho,Malawi
Ukraine,0,2,NorthernIreland,NorthernIreland,Ukraine
USA,2,1,Ecuador,USA,Ecuador
CzechRepublic,2,2,Croatia,TIECzechRepublicCroatia,TIECzechRepublicCroatia
Italy,1,0,Sweden,Italy,Sweden
Peru,0,0,Colombia,TIEPeruColombia,TIEPeruColombia
Spain,3,0,Turkey,Spain,Turkey
Argentina,4,1,Venezuela,Argentina,Venezuela
Belgium,3,0,Ireland,Belgium,Ireland
Iceland,1,1,Hungary,TIEIcelandHungary,TIEIcelandHungary
Mexico,0,7,Chile,Chile,Mexico
Namibia,1,1,Botswana,TIENamibiaBotswana,TIENamibiaBotswana
Portugal,0,0,Austria,TIEPortugalAustria,TIEPortugalAustria
SouthAfrica,1,1,Lesotho,TIESouthAfricaLesotho,TIESouthAfricaLesotho
CongoDR,1,0,Mozambique,CongoDR,Mozambique
France,0,0,Switzerland,TIEFranceSwitzerland,TIEFranceSwitzerland
FrenchGuyana,3,0,Bermuda,FrenchGuyana,Bermuda
Romania,0,1,Albania,Albania,Romania
Zambia,0,0,Swaziland,TIEZambiaSwaziland,TIEZambiaSwaziland
Russia,0,3,Wales,Wales,Russia
Slovakia,0,0,England,TIESlovakiaEngland,TIESlovakiaEngland
Croatia,2,1,Spain,Croatia,Spain
CzechRepublic,0,2,Turkey,Turkey,CzechRepublic
Lesotho,2,3,Zambia,Zambia,Lesotho
Namibia,3,0,Mozambique,Namibia,Mozambique
NorthernIreland,0,1,Germany,Germany,NorthernIreland
Ukraine,0,1,Poland,Poland,Ukraine
USA,0,4,Argentina,Argentina,USA
Botswana,0,0,CongoDR,TIEBotswanaCongoDR,TIEBotswanaCongoDR
Colombia,0,2,Chile,Chile,Colombia
Hungary,3,3,Portugal,TIEHungaryPortugal,TIEHungaryPortugal
Iceland,2,1,Austria,Iceland,Austria
